"id","activity_timestamp","itemid","type"
"10","2013-07-01T14:53:52.127","C4pxuKP","3"
"12","2013-07-01T14:54:13.216","C4pxAHP","0"
"24","2013-07-01T14:54:20.073","C4pxE1N","3"
"25","2013-07-01T14:55:25.473","C4pxYjE","0"
"26","2013-07-01T14:55:31.478","C4pxYjE","0"
"27","2013-07-01T14:55:42.018","C4py4bs","0"
"39","2013-07-01T14:55:53.631","C4py99v","5"
"40","2013-07-01T14:57:27.455","C4pxE1N","5"
"41","2013-07-01T14:57:38.970","C4pxE1Q","5"
"42","2013-07-01T14:57:49.412","C4pxE1U","5"
"43","2013-07-01T14:58:04.497","C4pxE23","5"
"44","2013-07-01T14:58:22.417","C4pxuKR","5"
"45","2013-07-01T14:58:33.551","C4py6Td","5"
"46","2013-07-01T14:58:45.142","C4py6Tf","5"
"47","2013-07-01T15:00:35.865","C4pxE1N","0"
"48","2013-07-01T15:00:47.972","C4pxE1N","0"
"49","2013-07-01T15:00:48.988","C4pxuKP","0"
"50","2013-07-01T15:03:21.911","C4py99v","0"
"51","2013-07-01T15:03:54.802","C4pxE1Q","0"
"52","2013-07-01T15:06:19.526","C4pxE1N","0"
"53","2013-07-01T15:06:23.659","C4pxE1N","0"
"54","2013-07-01T15:06:27.325","C4pxE1N","0"
"55","2013-07-01T15:07:29.487","C4py6Tf","0"
"60","2013-07-01T15:08:32.942","C4pC2De","3"
"61","2013-07-01T15:08:32.982","C4pC2De","5"
"62","2013-07-01T15:08:33.031","C4pC2CW","3"
"63","2013-07-01T15:08:33.089","C4pC2CW","5"
"67","2013-07-01T15:08:33.185","C4pC2CA","5"
"74","2013-07-01T15:08:33.784","C4pC365","5"
"77","2013-07-01T15:08:56.332","C4pC9tB","3"
"79","2013-07-01T15:08:56.373","C4pC9tB","5"
"80","2013-07-01T15:08:56.421","C4pC9tx","3"
"81","2013-07-01T15:08:56.455","C4pC9tx","5"
"83","2013-07-01T15:08:56.588","C4pC9tA","3"
"84","2013-07-01T15:08:56.646","C4pC9tA","5"
"93","2013-07-01T15:08:57.516","C4pCa42","3"
"94","2013-07-01T15:11:39.846","C4pCYx7","0"
"95","2013-07-01T15:12:55.023","C4pxE23","0"
"96","2013-07-01T15:17:43.193","C4pxuKR","0"
"97","2013-07-01T15:17:52.153","C4pxE1N","0"
"98","2013-07-01T15:17:55.747","C4pxE1N","0"
"99","2013-07-01T15:18:30.775","C4pxE1Q","0"
"100","2013-07-01T15:26:57.222","C4pxE1N","0"
"101","2013-07-01T15:27:34.352","C4pxuKP","0"
"102","2013-07-01T15:27:57.339","C4pxE1Q","0"
"103","2013-07-01T15:32:06.298","C4pKgT6","0"
"115","2013-07-01T15:32:34.849","C4pKqqS","3"
"116","2013-07-01T15:32:50.373","C4pxE1N","0"
"117","2013-07-01T15:32:51.576","C4pxuKP","0"
"118","2013-07-01T15:32:53.047","C4pxE1Q","0"
"119","2013-07-01T15:33:07.936","C4pxE1Q","0"
"120","2013-07-01T15:33:07.975","C4pxuKP","0"
"121","2013-07-01T15:33:50.016","C4pxE1N","0"
"122","2013-07-01T15:33:53.121","C4pxE1N","0"
"123","2013-07-01T15:39:56.118","C4pxE1N","0"
"124","2013-07-01T15:42:09.066","C4pxE1N","0"
"125","2013-07-01T15:42:14.834","C4pxE1N","0"
"126","2013-07-01T15:42:21.571","C4pxE1N","0"
"127","2013-07-01T16:06:52.804","C4pVYct","0"
"130","2013-07-01T16:07:16.640","C4pW6ts","3"
"131","2013-07-01T16:16:14.643","C4pxE1N","0"
"132","2013-07-01T16:26:34.965","C4q32BV","0"
"133","2013-07-01T16:26:47.334","C4q36hM","0"
"134","2013-07-01T16:27:43.859","C4q3o6S","0"
"135","2013-07-01T16:28:32.470","C4q3o6S","0"
"136","2013-07-01T16:36:42.607","C4q32BV","0"
"137","2013-07-01T17:06:16.841","C4qfcZh","0"
"138","2013-07-01T17:07:00.015","C4qfrhz","0"
"139","2013-07-01T17:08:22.047","C4qfRTr","0"
"140","2013-07-01T17:25:59.051","C4qmgZU","0"
"141","2013-07-01T17:26:08.763","C4qmgZU","0"
"142","2013-07-01T18:44:11.655","C4qLk65","0"
"143","2013-07-01T18:44:18.056","C4qLk65","0"
"158","2013-07-01T18:44:35.726","C4qLsDZ","3"
"159","2013-07-02T06:30:34.361","C4pxE1N","0"
"160","2013-07-02T06:31:08.939","C4uvHSS","0"
"161","2013-07-02T06:31:15.679","C4uvHSS","0"
"162","2013-07-02T06:31:19.408","C4uvHSS","0"
"163","2013-07-02T06:31:20.817","C4uvHSS","0"
"164","2013-07-02T06:32:39.689","C4pxE1N","0"
"165","2013-07-02T06:41:30.237","C4uyUg5","0"
"166","2013-07-02T06:41:34.305","C4uyUg5","0"
"167","2013-07-02T06:41:53.868","C4uyUg5","0"
"168","2013-07-02T06:41:56.823","C4pxE1N","0"
"169","2013-07-02T06:42:05.110","C4pxE1N","0"
"170","2013-07-02T06:42:07.172","C4uyUg5","0"
"171","2013-07-02T06:50:13.971","C4uBAaf","0"
"172","2013-07-02T06:50:24.721","C4uBAaf","0"
"173","2013-07-02T06:50:57.701","C4uBPBv","0"
"174","2013-07-02T06:51:01.155","C4uBPBv","0"
"175","2013-07-02T06:51:18.260","C4uBVp4","0"
"176","2013-07-02T06:51:25.147","C4uBVp4","0"
"177","2013-07-02T06:51:47.152","C4uBAaf","0"
"178","2013-07-02T06:51:59.131","C4uC8fJ","0"
"179","2013-07-02T06:52:01.247","C4uC8fJ","0"
"180","2013-07-02T06:52:15.750","C4uC8fJ","0"
"181","2013-07-02T07:22:04.633","C4uvHSS","0"
"182","2013-07-02T07:22:13.239","C4uvHSS","0"
"194","2013-07-02T07:23:37.331","C4uMRwe","0"
"195","2013-07-02T07:23:48.846","C4uMUYK","0"
"196","2013-07-02T07:25:08.027","C4uNjmw","0"
"205","2013-07-02T07:25:15.938","C4uNom2","5"
"206","2013-07-02T07:25:29.772","C4uNjmw","0"
"207","2013-07-02T07:25:39.584","C4uNjmw","0"
"249","2013-07-02T08:00:13.573","C4uNom2","0"
"250","2013-07-02T09:13:56.422","C4vnNHr","0"
"251","2013-07-02T09:14:07.183","C4vnNHr","0"
"252","2013-07-02T09:15:01.865","C4vo9bi","0"
"253","2013-07-02T09:15:08.103","C4vo9bi","0"
"254","2013-07-02T09:15:17.927","C4vo9bi","0"
"255","2013-07-02T09:15:20.310","C4vo9bi","0"
"267","2013-07-02T09:16:44.360","C4voEEs","5"
"268","2013-07-02T09:17:20.783","C4voR6S","0"
"269","2013-07-02T09:17:23.339","C4voR6S","0"
"270","2013-07-02T09:17:26.309","C4voR6S","0"
"271","2013-07-02T09:17:40.398","C4voWVu","0"
"272","2013-07-02T09:17:44.487","C4voWVu","0"
"277","2013-07-02T09:17:55.383","C4vp2KA","5"
"282","2013-07-02T09:21:02.418","C4uNom2","0"
"283","2013-07-02T09:22:40.100","C4vp2KA","0"
"284","2013-07-02T09:36:01.184","C4uNom2","0"
"285","2013-07-02T09:36:10.427","C4vp2KA","0"
"323","2013-07-02T10:26:02.033","C4vp2KA","0"
"324","2013-07-02T10:26:37.941","C4uNom2","0"
"325","2013-07-02T10:26:52.366","C4vp2KA","0"
"327","2013-07-02T10:27:11.447","C4vp2KA","0"
"328","2013-07-02T10:27:29.855","C4uNom2","0"
"329","2013-07-02T10:27:30.822","C4vp2KA","0"
"330","2013-07-02T10:28:16.235","C4uNom2","0"
"331","2013-07-02T10:28:21.136","C4uNom2","0"
"332","2013-07-02T10:30:38.296","C4voEEs","0"
"334","2013-07-02T10:31:12.627","C4vp2KA","0"
"335","2013-07-02T10:31:59.233","C4vp2KA","0"
"336","2013-07-02T10:32:03.247","C4vp2KA","0"
"337","2013-07-02T10:37:39.521","C4voEEs","0"
"338","2013-07-02T10:52:09.291","C4voEEs","0"
"339","2013-07-02T11:02:31.004","C4vXbqf","0"
"340","2013-07-02T11:02:38.103","C4vXbqf","0"
"341","2013-07-02T11:02:45.514","C4vXbqf","0"
"342","2013-07-02T11:03:00.781","C4vXky1","0"
"343","2013-07-02T11:03:05.644","C4vXky1","0"
"344","2013-07-02T11:03:25.182","C4vXsLh","0"
"345","2013-07-02T11:03:41.210","C4vXsLh","0"
"373","2013-07-02T11:06:30.188","C4vYq9Q","5"
"374","2013-07-02T11:07:15.785","C4vYb7D","5"
"375","2013-07-02T11:07:35.233","C4vYJSV","0"
"376","2013-07-02T11:07:37.496","C4vYJSV","0"
"377","2013-07-02T11:07:38.558","C4vYb82","5"
"378","2013-07-02T11:07:54.674","C4vYJSV","0"
"379","2013-07-02T11:07:55.006","C4vYb84","5"
"380","2013-07-02T11:08:08.229","C4vYb86","5"
"394","2013-07-02T11:08:11.232","C4vYWcL","3"
"395","2013-07-02T11:08:11.463","C4vYWcw","3"
"396","2013-07-02T11:08:35.078","C4vYWcL","0"
"397","2013-07-02T11:08:41.688","C4vYWcL","0"
"398","2013-07-02T11:10:10.332","C4vZwTt","0"
"399","2013-07-02T11:10:19.577","C4vZwTt","0"
"400","2013-07-02T11:10:31.168","C4vZwTt","0"
"403","2013-07-02T11:10:35.183","C4vZFpo","5"
"404","2013-07-02T11:13:44.584","C4vZwTt","0"
"405","2013-07-02T11:22:49.344","C4uNokW","0"
"406","2013-07-02T11:23:01.866","C4vYWcL","0"
"407","2013-07-02T11:57:55.336","C4wfdet","0"
"408","2013-07-02T11:58:09.154","C4wfdet","0"
"409","2013-07-02T11:59:32.562","C4wfdet","0"
"410","2013-07-02T14:58:51.157","C4vYWcL","0"
"411","2013-07-02T14:59:34.276","C4vYWcL","0"
"412","2013-07-02T15:00:48.763","C4vYWcL","0"
"413","2013-07-03T06:53:04.291","C4vYb86","0"
"414","2013-07-03T06:53:08.107","C4vYb86","0"
"415","2013-07-03T06:53:10.713","C4vYb86","0"
"416","2013-07-03T06:53:13.429","C4vYWcL","0"
"417","2013-07-03T06:53:22.864","C4vYWcL","0"
"418","2013-07-03T06:53:25.983","C4vYWcL","0"
"419","2013-07-03T06:53:29.928","C4vYWcL","0"
"420","2013-07-03T06:53:30.993","C4vYWcL","0"
"421","2013-07-03T06:53:34.721","C4vYWcL","0"
"422","2013-07-03T07:03:25.915","C4vYb84","0"
"423","2013-07-03T07:03:57.230","C4vYq9Q","0"
"424","2013-07-03T07:05:56.578","C4vYq9Q","0"
"425","2013-07-03T07:07:16.087","C4vYq9Q","0"
"426","2013-07-03T07:07:46.272","C4vYq9Q","0"
"427","2013-07-03T07:16:04.642","C4vYq9Q","0"
"428","2013-07-03T07:19:12.212","C4vYq9Q","0"
"429","2013-07-03T07:26:25.559","C4vYq9Q","0"
"430","2013-07-03T07:46:53.594","C4vYWcL","0"
"431","2013-07-03T07:46:57.956","C4vYWcw","0"
"432","2013-07-03T07:46:58.862","C4vYWcL","0"
"433","2013-07-03T07:48:52.371","C4vYWcL","0"
"434","2013-07-03T07:49:59.975","C4vYWcw","0"
"435","2013-07-03T07:50:37.088","C4uNom2","0"
"436","2013-07-03T07:51:03.627","C4uNom2","1"
"437","2013-07-03T07:51:19.548","C4vYWcw","0"
"462","2013-07-03T14:09:18.968","C4uNom2","0"
"463","2013-07-03T14:10:18.455","C4vYb82","0"
"464","2013-07-03T14:12:29.680","C4uNom2","0"
"465","2013-07-03T14:12:29.686","C4uNom2","0"
"466","2013-07-03T14:12:35.766","C4uNom2","0"
"467","2013-07-03T14:12:39.899","C4vYWcL","0"
"468","2013-07-03T14:12:58.803","C4vYWcw","0"
"469","2013-07-03T14:13:04.597","C4vp2KA","0"
"470","2013-07-03T14:13:11.466","C4vp2KA","0"
"471","2013-07-03T14:13:18.479","C4vYWcw","0"
"472","2013-07-03T14:13:18.569","C4uNom2","0"
"473","2013-07-03T14:13:18.571","C4vp2KA","0"
"474","2013-07-03T14:31:55.648","C4vp2KA","0"
"478","2013-07-03T14:35:45.966","C4uMCMG","0"
"501","2013-07-03T14:51:45.899","C4uMCMG","0"
"502","2013-07-03T14:54:38.948","C4vZFpo","0"
"3333","2013-07-15T17:00:49.265","C6g71Jg","0"
"3334","2013-07-15T17:01:01.112","C6g3QgC","0"
"3335","2013-07-15T17:01:51.495","C6g3QgC","0"
"3336","2013-07-15T17:02:19.898","C62aNmJ","0"
"3337","2013-07-15T17:03:48.558","C6g7Y83","0"
"3338","2013-07-15T17:04:03.674","C6g7Y83","0"
"3341","2013-07-15T17:04:13.741","C6g886i","3"
"3342","2013-07-15T17:04:13.837","C6g886i","5"
"3343","2013-07-15T17:05:47.074","C6g3QgC","0"
"3344","2013-07-15T17:06:56.365","C6g8VQc","0"
"3347","2013-07-15T17:07:09.130","C6g92eE","3"
"3348","2013-07-15T17:07:09.230","C6g92eE","5"
"3349","2013-07-15T17:07:47.245","C6g9bHA","0"
"3350","2013-07-15T17:08:01.015","C6g9bHA","0"
"3353","2013-07-15T17:08:02.303","C6g9i3i","3"
"3354","2013-07-15T17:08:02.306","C6g9i3i","5"
"3355","2013-07-15T17:08:23.555","C6g9nES","0"
"3356","2013-07-15T17:08:37.278","C6g3QgC","0"
"3359","2013-07-15T17:08:40.591","C6g9umw","3"
"3360","2013-07-15T17:08:40.617","C6g9umw","5"
"3361","2013-07-15T17:09:11.750","C6g9Cq5","0"
"3364","2013-07-15T17:09:25.132","C6g9HwN","3"
"3365","2013-07-15T17:09:25.165","C6g9HwN","5"
"3366","2013-07-15T17:10:10.533","C6g9VLx","0"
"3367","2013-07-15T17:10:15.737","C6g3QgC","0"
"3370","2013-07-15T17:10:19.574","C6g9ZPZ","3"
"3371","2013-07-15T17:10:19.599","C6g9ZPZ","5"
"3372","2013-07-15T17:10:30.091","C6g3QgC","0"
"3373","2013-07-15T17:10:34.741","C6g3QgC","0"
"3374","2013-07-15T17:10:41.081","C6g3QgC","0"
"3375","2013-07-15T17:10:51.188","C62aNmJ","0"
"3376","2013-07-15T17:10:52.478","C6g92eE","0"
"3377","2013-07-15T17:10:57.218","C6g9i3i","0"
"3630","2013-07-15T21:18:50.416","C4vYWcL","0"
"3631","2013-07-15T21:20:25.915","C6ftGu2","0"
"3632","2013-07-15T21:20:25.930","C6fu499","0"
"3633","2013-07-15T21:20:26.081","C6ftcgo","0"
"3634","2013-07-15T21:21:10.336","C6ftGu2","0"
"3635","2013-07-15T21:21:10.373","C6fu499","0"
"3732","2013-07-16T07:16:26.759","C6g9i3i","0"
"3733","2013-07-16T07:16:26.751","C6g9HwN","0"
"3734","2013-07-16T07:16:26.795","C6g92eE","0"
"3735","2013-07-16T07:26:06.493","C6gbBgU","0"
"3750","2013-07-16T07:28:32.004","C6gaNuy","0"
"3751","2013-07-16T07:28:32.031","C6g9HwN","0"
"3752","2013-07-16T07:28:32.027","C6g9umw","0"
"3753","2013-07-16T07:28:32.022","C6g9ZPZ","0"
"3754","2013-07-16T07:28:32.075","C6g9i3i","0"
"3755","2013-07-16T07:28:32.077","C6g92eE","0"
